,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,W,homeTeam,awayTeam,teamPoss,dist2goal,awayScore,homeScore
0,5,1,15:00,3600,,,OCO,30,"Dasistwirklichseinnachname, A. kicks off.",6369,25,1,OCO,SJS,OCO,70,0,0
1,6,1,15:00,3600,,,,,The kick sails into the endzone.,6369,25,1,OCO,SJS,SJS,,0,0
2,6,1,15:00,3600,,,,,"PickSix, H. takes it out of the endzone!",6369,25,1,OCO,SJS,SJS,,0,0
3,6,1,15:00,3600,,,SJS,19,"Kickoff of 77 yards. Returned by PickSix, H. for 19 yards.",6369,25,1,OCO,SJS,SJS,81,0,0
4,6,1,14:58,3598,1,10,SJS,19,"Jack, M. SACKED by Rapid Eagle - DT for -7 yds.",6369,25,1,OCO,SJS,SJS,81,0,0
5,6,1,14:13,3553,2,17,SJS,12,"Pass by Jack, M., complete to Swift, N. for 14 yds. Tackle by Abernathy, K..",6369,25,1,OCO,SJS,SJS,88,0,0
6,6,1,13:25,3505,3,3,SJS,26,"Pass by Jack, M. to Hood, T. falls incomplete.",6369,25,1,OCO,SJS,SJS,74,0,0
7,5,1,13:20,3500,4,3,SJS,26,"Punt by McDairmid, M. of 56 yards. No return.",6369,25,1,OCO,SJS,SJS,74,0,0
8,5,1,13:13,3493,1,10,OCO,17,"Rush by Nakamura (C), T. for 1 yds. Tackle by Fisher, G..",6369,25,1,OCO,SJS,OCO,83,0,0
9,5,1,12:47,3467,2,9,OCO,18,"Pass by Ramza (R), S., complete to Phillips, J. for 24 yds. Tackle by Vaughne (R), R..",6369,25,1,OCO,SJS,OCO,82,0,0
10,5,1,11:45,3405,1,10,OCO,42,"Rush by McZeal, K. for 4 yds. Tackle by Bass, L..",6369,25,1,OCO,SJS,OCO,58,0,0
11,5,1,11:16,3376,2,6,OCO,46,"Pass by Ramza (R), S., complete to Despacito Jr., G. for 39 yds. Tackle by Vaughne (R), R..",6369,25,1,OCO,SJS,OCO,54,0,0
12,5,1,10:10,3310,1,10,SJS,14,"Pass by Ramza (R), S. to Phillips, J. was dropped! Incomplete.",6369,25,1,OCO,SJS,OCO,14,0,0
13,5,1,10:03,3303,2,10,SJS,14,"Pass by Ramza (R), S. to Despacito Jr., G. is incomplete. Broken up by PickSix, H..",6369,25,1,OCO,SJS,OCO,14,0,0
14,5,1,9:58,3298,3,10,SJS,14,"Pass by Ramza (R), S. to Nakamura (C), T. was dropped! Incomplete.",6369,25,1,OCO,SJS,OCO,14,0,0
15,5,1,9:55,3295,4,10,SJS,14,"31 yard FG by Dasistwirklichseinnachname, A. is good.",6369,25,1,OCO,SJS,OCO,14,0,3
16,5,1,9:55,3295,,,OCO,30,"Dasistwirklichseinnachname, A. kicks off.",6369,25,1,OCO,SJS,OCO,70,0,3
17,6,1,9:55,3295,,,,,The kick sails into the endzone.,6369,25,1,OCO,SJS,SJS,,0,3
18,6,1,9:55,3295,,,,,"Thomas-Fox, D. takes it out of the endzone!",6369,25,1,OCO,SJS,SJS,,0,3
19,6,1,9:55,3295,,,SJS,19,"Kickoff of 78 yards. Returned by Thomas-Fox, D. for 19 yards.",6369,25,1,OCO,SJS,SJS,81,0,3
20,6,1,9:51,3291,1,10,SJS,19,"Rush by Lackson, J. for 5 yds. Tackle by Joestar, J..",6369,25,1,OCO,SJS,SJS,81,0,3
21,6,1,9:21,3261,2,5,SJS,24,"Rush by Lackson, J. for 2 yds. Tackle by Jones (C), D..",6369,25,1,OCO,SJS,SJS,76,0,3
22,6,1,8:54,3234,3,3,SJS,26,"Pass by Jack, M., complete to Lackson, J. for 3 yds. Tackle by Biggums, T..",6369,25,1,OCO,SJS,SJS,74,0,3
23,6,1,8:09,3189,1,10,SJS,29,"Rush by Lackson, J. for 11 yds. Tackle by Vegeta, P..",6369,25,1,OCO,SJS,SJS,71,0,3
24,6,1,7:32,3152,1,10,SJS,40,"Rush by Lackson, J. for 8 yds. Tackle by Biggums, T..",6369,25,1,OCO,SJS,SJS,60,0,3
25,6,1,6:53,3113,2,2,SJS,48,"Pass by Jack, M., complete to Thomas-Fox, D. for 15 yds. Tackle by Abernathy, K..",6369,25,1,OCO,SJS,SJS,52,0,3
26,6,1,5:45,3045,1,10,OCO,36,"Rush by Lackson, J. for 1 yds. Tackle by Biggums, T..",6369,25,1,OCO,SJS,SJS,36,0,3
27,6,1,5:10,3010,2,9,OCO,35,"Rush by Cardrissian, R. for 3 yds. Tackle by Jones (C), D..",6369,25,1,OCO,SJS,SJS,35,0,3
28,6,1,4:38,2978,3,6,OCO,32,"Pass by Jack, M., complete to Cardrissian, R. for 4 yds. Tackle by Bob, B..",6369,25,1,OCO,SJS,SJS,32,0,3
29,6,1,3:44,2924,4,2,OCO,28,"45 yard FG by McDairmid, M. is good.",6369,25,1,OCO,SJS,SJS,28,3,3
30,6,1,3:44,2924,,,SJS,30,"McDairmid, M. kicks off.",6369,25,1,OCO,SJS,SJS,70,3,3
31,5,1,3:44,2924,,,,,The kick sails into the endzone.,6369,25,1,OCO,SJS,OCO,,3,3
32,5,1,3:44,2924,,,,,"Beerus, L. takes it out of the endzone!",6369,25,1,OCO,SJS,OCO,,3,3
33,5,1,3:44,2924,,,,,"Beerus, L. takes it down the left side.",6369,25,1,OCO,SJS,OCO,,3,3
34,5,1,3:44,2924,,,,,"Beerus, L. is finally brought down. A 34 yard return.",6369,25,1,OCO,SJS,OCO,,3,3
35,5,1,3:38,2918,1,10,OCO,34,"Ramza (R), S. SACKED by Raylan Crowder (R) - DE for -11 yds.",6369,25,1,OCO,SJS,OCO,66,3,3
36,5,1,3:03,2883,2,21,OCO,23,"Pass by Ramza (R), S. to Phillips, J. is incomplete. Broken up by Vaughne (R), R..",6369,25,1,OCO,SJS,OCO,77,3,3
37,5,1,3:00,2880,3,21,OCO,23,"Ramza (R), S. SACKED by Lawrence Bass - LB for -11 yds.",6369,25,1,OCO,SJS,OCO,77,3,3
38,6,1,2:20,2840,4,32,OCO,12,"Punt by Dasistwirklichseinnachname, A. of 41 yards. No return.",6369,25,1,OCO,SJS,OCO,88,3,3
39,6,1,2:11,2831,1,10,SJS,46,"Rush by Cardrissian, R. for 5 yds. Tackle by Joestar, J..",6369,25,1,OCO,SJS,SJS,54,3,3
40,6,1,1:48,2808,2,5,OCO,48,"Rush by Lackson, J. for 1 yds. Tackle by Boucher, B..",6369,25,1,OCO,SJS,SJS,48,3,3
41,6,1,1:36,2796,3,9,SJS,47,"SaberCats Penalty on Lackson, J.: Illegal Motion.",6369,25,1,OCO,SJS,SJS,53,3,3
42,6,1,1:36,2796,3,9,SJS,47,"Jack, M. SACKED by Deshun Jones (C) - LB for -6 yds.",6369,25,1,OCO,SJS,SJS,53,3,3
43,5,1,1:07,2767,4,15,SJS,41,"Punt by McDairmid, M. of 44 yards. No return.",6369,25,1,OCO,SJS,SJS,59,3,3
44,5,1,1:00,2760,1,10,OCO,14,"Ramza (R), S. throws the ball away to avoid the sack.",6369,25,1,OCO,SJS,OCO,86,3,3
45,5,1,0:43,2743,2,10,OCO,14,"Ramza (R), S. throws the ball away to avoid the sack.",6369,25,1,OCO,SJS,OCO,86,3,3
46,5,1,0:27,2727,3,10,OCO,14,"Pass by Ramza (R), S. to Phillips, J. was dropped! Incomplete.",6369,25,1,OCO,SJS,OCO,86,3,3
47,6,1,0:20,2720,4,10,OCO,14,"Punt by Dasistwirklichseinnachname, A. of 43 yards.",6369,25,1,OCO,SJS,OCO,86,3,3
48,6,1,0:20,2720,,,,,"Returned by Thomas-Fox, D. for 9 yards.",6369,25,1,OCO,SJS,SJS,,3,3
49,6,1,0:07,2707,1,10,OCO,48,"Pass by Jack, M. to Thomas-Fox, D. is incomplete. Broken up by Abernathy, K..",6369,25,1,OCO,SJS,SJS,48,3,3
50,6,1,0:03,2703,2,10,OCO,48,"Jack, M. SACKED by Prince Vegeta - FS for -5 yds.",6369,25,1,OCO,SJS,SJS,48,3,3
51,6,2,15:00,2700,3,15,SJS,46,"Pass by Jack, M., complete to George, D. for 5 yds. Tackle by Joestar, J..",6369,25,1,OCO,SJS,SJS,54,3,3
52,5,2,14:20,2660,4,10,OCO,48,"Punt by McDairmid, M. of 48 yards. Touchback.",6369,25,1,OCO,SJS,SJS,48,3,3
53,5,2,14:16,2656,1,10,OCO,20,"Rush by Nakamura (C), T. for 2 yds. Tackle by Brackenridge, T..",6369,25,1,OCO,SJS,OCO,80,3,3
54,5,2,13:58,2638,1,10,OCO,32,"SaberCats Penalty on Hilliard (R), R.: Defensive Holding.",6369,25,1,OCO,SJS,OCO,68,3,3
55,5,2,13:34,2614,1,10,OCO,32,"Rush by Nakamura (C), T. for 1 yds. Tackle by Hilliard (R), R..",6369,25,1,OCO,SJS,OCO,68,3,3
56,5,2,13:06,2586,2,4,OCO,38,"SaberCats Penalty on Bass, L.: Offsides.",6369,25,1,OCO,SJS,OCO,62,3,3
57,5,2,13:06,2586,2,4,OCO,38,"Rush by Nakamura (C), T. for 1 yds. Tackle by Fisher, G..",6369,25,1,OCO,SJS,OCO,62,3,3
58,5,2,12:42,2562,1,10,SJS,46,"SaberCats Penalty on Allen, O.: Facemask.",6369,25,1,OCO,SJS,OCO,46,3,3
59,5,2,12:22,2542,1,10,SJS,46,"Rush by Nakamura (C), T. for 6 yds. Tackle by Hilliard (R), R..",6369,25,1,OCO,SJS,OCO,46,3,3
60,5,2,11:52,2512,2,4,SJS,40,"Pass by Ramza (R), S. to Phillips, J. was dropped! Incomplete.",6369,25,1,OCO,SJS,OCO,40,3,3
61,5,2,11:46,2506,3,4,SJS,40,"Rush by Nakamura (C), T. for 1 yds. Tackle by Bass, L..",6369,25,1,OCO,SJS,OCO,40,3,3
62,6,2,11:25,2485,4,3,SJS,39,"Punt by Dasistwirklichseinnachname, A. of 39 yards. Touchback.",6369,25,1,OCO,SJS,OCO,39,3,3
63,6,2,11:21,2481,1,10,SJS,20,"Pass by Jack, M. to George, D. was dropped! Incomplete.",6369,25,1,OCO,SJS,SJS,80,3,3
64,6,2,11:15,2475,2,10,SJS,20,"Rush by Cardrissian, R. for 2 yds. Tackle by Jones (C), D..",6369,25,1,OCO,SJS,SJS,80,3,3
65,6,2,10:41,2441,3,8,SJS,22,"Pass by Jack, M., complete to Cardrissian, R. for 1 yds. Tackle by Biggums, T..",6369,25,1,OCO,SJS,SJS,78,3,3
66,5,2,10:00,2400,4,7,SJS,23,"Punt by McDairmid, M. of 32 yards.",6369,25,1,OCO,SJS,SJS,77,3,3
67,5,2,10:00,2400,,,,,"Returned by Beerus, L. for 14 yards.",6369,25,1,OCO,SJS,OCO,,3,3
68,5,2,9:47,2387,1,10,SJS,41,"Rush by McZeal, K. for 2 yds. Tackle by Bass, L..",6369,25,1,OCO,SJS,OCO,41,3,3
69,5,2,9:13,2353,2,8,SJS,39,"Rush by Ramza (R), S. for a short gain. Tackle by Fisher, G..",6369,25,1,OCO,SJS,OCO,39,3,3
70,5,2,8:27,2307,3,8,SJS,39,"Pass by Ramza (R), S., complete to Despacito Jr., G. for 9 yds. Tackle by PickSix, H..",6369,25,1,OCO,SJS,OCO,39,3,3
71,5,2,7:53,2273,1,10,SJS,30,"Rush by Nakamura (C), T. for 10 yds. Tackle by Stein, P..",6369,25,1,OCO,SJS,OCO,30,3,3
72,5,2,7:15,2235,1,10,SJS,20,"Rush by Nakamura (C), T. for 6 yds. Tackle by Stein, P..",6369,25,1,OCO,SJS,OCO,20,3,3
