,S,gameID,homeTeam,awayTeam,teamPoss,Q,time,totTime,awayScore,homeScore,down,distance,dist2goal,play
0,17,4203,YKW,BAL,YKW,1,15:00,3600,0,0,,,70,"Bobby (R), K. kicks off."
1,17,4203,YKW,BAL,BAL,1,15:00,3600,0,0,,,,"Maddox, E. takes it down the middle."
2,17,4203,YKW,BAL,BAL,1,15:00,3600,0,0,,,,"Maddox, E. waits for blockers."
3,17,4203,YKW,BAL,BAL,1,15:00,3600,0,0,,,,A 43 yard return.
4,17,4203,YKW,BAL,BAL,1,14:52,3592,0,0,1,10,53,"Rush by Jimbo, D. for a short gain. Tackle by Skinner, Z.."
5,17,4203,YKW,BAL,BAL,1,14:33,3573,0,0,2,10,53,"Pass by Havran, C. to Maddox, E. is incomplete. Broken up by Snuggles, J.."
6,17,4203,YKW,BAL,BAL,1,14:30,3570,0,0,3,10,53,"Pass by Havran, C. to Espeeyeeseetee, A. was dropped! Incomplete."
7,17,4203,YKW,BAL,YKW,1,14:27,3567,0,0,4,10,53,"Punt by Brand, F. of 53 yards. Touchback."
8,17,4203,YKW,BAL,YKW,1,14:22,3562,0,0,1,10,80,"Pass by Bigsby, C., complete to Helanen, T. for 9 yds. Tackle by Green, W.."
9,17,4203,YKW,BAL,YKW,1,13:51,3531,0,0,2,1,71,"Bigsby, C. SACKED by Benson Harris - DT for -6 yds."
10,17,4203,YKW,BAL,YKW,1,13:24,3504,0,0,3,7,77,"Pass by Bigsby, C., complete to Canton, J. for 41 yds. Tackle by Troyski, X.."
11,17,4203,YKW,BAL,YKW,1,12:12,3432,0,0,1,10,36,"Pass by Bigsby, C. to Marshall, M. falls incomplete."
12,17,4203,YKW,BAL,YKW,1,12:07,3427,0,0,2,10,36,"Pass by Bigsby, C., complete to Swift, N. for 21 yds. Tackle by Green, W.."
13,17,4203,YKW,BAL,YKW,1,11:11,3371,0,0,1,10,15,"Pass by Bigsby, C., complete to Helanen, T. for 15 yds."
14,17,4203,YKW,BAL,YKW,1,10:37,3337,0,7,,,,TOUCHDOWN! (Bobby (R) kick good)
15,17,4203,YKW,BAL,YKW,1,10:37,3337,0,7,,,70,"Bobby (R), K. kicks off."
16,17,4203,YKW,BAL,BAL,1,10:37,3337,0,7,,,69,"Kickoff of 64 yards. Returned by Maddox, E. for 25 yards."
17,17,4203,YKW,BAL,BAL,1,10:27,3327,0,7,1,10,69,"Rush by Jimbo, D. for a short gain. Tackle by Grithead, D.."
18,17,4203,YKW,BAL,BAL,1,10:01,3301,0,7,2,10,69,"Pass by Havran, C., complete to Espeeyeeseetee, A. for 3 yds. Tackle by Uchiha, L.."
19,17,4203,YKW,BAL,BAL,1,9:13,3253,0,7,3,7,66,"Pass by Havran, C. to Espeeyeeseetee, A. is incomplete. Broken up by Storm, J.."
20,17,4203,YKW,BAL,YKW,1,9:08,3248,0,7,4,7,66,"Punt by Brand, F. of 52 yards. No return."
21,17,4203,YKW,BAL,YKW,1,8:59,3239,0,7,1,10,86,"Pass by Bigsby, C. to Swift, N. was dropped! Incomplete."
22,17,4203,YKW,BAL,YKW,1,8:52,3232,0,7,2,10,86,"Pass by Bigsby, C. to Helanen, T. falls incomplete."
23,17,4203,YKW,BAL,YKW,1,8:46,3226,0,7,3,10,86,"Pass by Bigsby, C., complete to Swift, N. for 49 yds. Tackle by Green, W.."
24,17,4203,YKW,BAL,YKW,1,7:19,3139,0,7,1,10,37,"Bigsby, C. SACKED by Ben Horne - LB for -6 yds."
25,17,4203,YKW,BAL,YKW,1,6:59,3119,0,7,2,16,43,"Pass by Bigsby, C., complete to Canton, J. for 11 yds. Tackle by Troyski, X.."
