,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,recTeam,down,distance,dist2goal,surrenderIndex,percentiles,NFLpercentiles,play,result
82122,6,1592,5,12:29,YKW,27,27,NO ,YKW,4.0,2.0,32.0,930.9912084692833,100.0,100.0,"Punt by Lombardi, J. of 32 yards. Touchback.",Touchback
167355,11,2698,4,4:24,YKW,21,17,PHI,YKW,4.0,1.0,35.0,739.1149078659555,99.99475726119324,100.0,"Punt by (R) Fulture, K. of 35 yards. Touchback.",Touchback
2730,1,18,4,2:03,BAL,20,23,COL,COL,4.0,3.0,35.0,730.9853784766264,99.9895145223865,100.0,"Punt by Harris, S. of 35 yards. Touchback.",Touchback
38635,3,314,4,3:16,PHI,14,17,YKW,YKW,4.0,5.0,33.0,708.052378634991,99.98427178357974,100.0,"Punt by Harris, S. of 33 yards. Touchback.",Touchback
101482,7,1754,4,8:30,YKW,23,20,SJS,YKW,4.0,3.0,32.0,695.3333835150169,99.97902904477299,100.0,"Punt by Blewitt, I. of 32 yards. Touchback.",Touchback
101920,7,1756,4,4:04,COL,3,38,NO ,NO ,4.0,1.0,34.0,685.8346094892236,99.97378630596624,100.0,"Punt by McCormick, M. of 34 yards. Touchback.",Touchback
93080,7,1717,4,3:43,BAL,13,14,YKW,YKW,4.0,1.0,36.0,655.6256394909806,99.96854356715949,99.99601799864612,"Punt by PuntBot, Z. of 36 yards. Touchback.",Touchback
258564,17,4208,4,13:29,BAL,17,21,COL,COL,4.0,1.0,31.0,654.0499671826253,99.96330082835273,99.99601799864612,"Punt by Brand, F. of 31 yards. Touchback.",Touchback
28936,3,269,4,11:04,LV ,10,3,YKW,LV ,4.0,2.0,31.0,653.9042886615887,99.95805808954597,99.99601799864612,"Punt by Booter, A. of 31 yards. Touchback.",Touchback
258200,17,4206,4,5:21,OCO,7,30,SJS,SJS,4.0,5.0,31.0,631.712606292803,99.95281535073923,99.99601799864612,"Punt by Dasistwirklichseinnachname, A. of 31 yards. Touchback.",Touchback
98285,7,1740,4,4:42,SJS,33,9,COL,SJS,4.0,2.0,33.0,621.2054182651849,99.94757261193247,99.99601799864612,"Punt by McCormick, M. of 33 yards. Touchback.",Touchback
110312,8,1870,4,7:54,BAL,21,28,NO ,NO ,4.0,3.0,33.0,613.4715653565557,99.94232987312571,99.99601799864612,"Punt by PuntBot, Z. of 33 yards. Touchback.",Touchback
29794,3,273,4,5:09,BAL,14,27,SJS,SJS,4.0,5.0,32.0,536.2949541476224,99.93708713431897,99.99601799864612,"Punt by Turkleton, T. of 29 yards. No return.",No return
97853,7,1738,5,3:28,SJS,33,27,BAL,SJS,4.0,5.0,41.0,529.18481124802,99.93184439551221,99.99601799864612,"Punt by Turkleton, T. of 41 yards. Touchback.",Touchback
35158,3,298,4,2:42,BAL,17,17,SJS,BAL,4.0,2.0,33.0,496.71292933074363,99.92660165670546,99.99601799864612,"Punt by Blewitt, I. of 33 yards. Touchback.",Touchback
33189,3,289,4,9:01,PHI,10,6,BAL,PHI,4.0,5.0,32.0,496.46290665913506,99.92135891789871,99.99601799864612,"Punt by Turkleton, T. of 32 yards. Touchback.",Touchback
310384,19,4856,4,12:06,BAL,24,28,PHI,PHI,4.0,3.0,32.0,494.7217474525616,99.91611617909196,99.99601799864612,"Punt by Brand, F. of 32 yards. Touchback.",Touchback
19829,2,78,5,13:18,ARI,26,20,OCO,ARI,4.0,3.0,39.0,485.99789055034233,99.9108734402852,99.99601799864612,"Punt by Langdon, J. of 39 yards. Touchback.",Touchback
71325,5,1414,4,10:08,COL,0,27,PHI,PHI,4.0,1.0,33.0,465.0221722379152,99.90563070147846,99.99601799864612,"Punt by Leg, P. of 33 yards. Touchback.",Touchback
70297,5,1409,4,10:41,BAL,28,17,LV ,BAL,4.0,4.0,30.0,457.6481190214842,99.9003879626717,99.99601799864612,"Punt by Kicksit, B. of 30 yards. Touchback.",Touchback
14197,2,135,3,1:00,OCO,13,6,COL,OCO,4.0,1.0,32.0,439.9307737664499,99.89514522386494,99.99601799864612,"Punt by Kicksit, B. of 32 yards. Touchback.",Touchback
53360,4,755,4,14:02,PHI,20,14,YKW,PHI,4.0,1.0,33.0,432.5588172179369,99.8899024850582,99.99601799864612,"Punt by Lombardi, J. of 33 yards. Touchback.",Touchback
82083,6,1592,4,8:10,YKW,27,24,NO ,YKW,4.0,8.0,31.0,430.64429404901614,99.88465974625144,99.99601799864612,"Punt by Lombardi, J. of 31 yards. Touchback.",Touchback
142081,10,2508,4,3:51,COL,41,31,NO ,COL,4.0,5.0,34.0,419.71952870540065,99.87941700744469,99.99601799864612,"Punt by PuntMachine8, Z. of 34 yards. Touchback.",Touchback
262639,17,4292,4,11:00,NO ,24,10,AUS,NO ,4.0,3.0,32.0,411.2657111637158,99.87417426863793,99.99601799864612,"Punt by Crisco, A. of 32 yards. Touchback.",Touchback
188250,12,2927,4,3:51,PHI,24,24,COL,PHI,4.0,1.0,35.0,388.62919324574136,99.86893152983119,99.99203599729223,"Punt by Leg, P. of 35 yards. Touchback.",Touchback
187214,12,2922,4,6:15,AZ ,17,20,BAL,BAL,4.0,4.0,35.0,373.43296127492704,99.86368879102443,99.99203599729223,"Punt by Jackson, D. of 35 yards. Touchback.",Touchback
3076,1,20,4,7:56,OCO,13,10,BAL,OCO,4.0,3.0,36.0,353.89573852030685,99.85844605221767,99.99203599729223,"Punt by Harris, S. of 36 yards. Touchback.",Touchback
122382,8,1925,4,5:03,YKW,17,38,OCO,OCO,4.0,2.0,36.0,348.0509328516142,99.85320331341093,99.99203599729223,"Punt by Forfeit, N. of 36 yards. Touchback.",Touchback
112565,8,1880,4,12:58,YKW,27,7,NO ,YKW,4.0,2.0,32.0,342.64010480335594,99.84796057460417,99.99203599729223,"Punt by Leg, P. of 32 yards. Touchback.",Touchback
301198,19,4812,4,3:44,COL,16,7,PHI,COL,4.0,1.0,38.0,340.9543993843442,99.84271783579742,99.99203599729223,"Punt by Frost, B. of 38 yards. Touchback.",Touchback
301863,19,4815,4,4:32,OCO,27,10,SJS,OCO,4.0,4.0,35.0,328.5499103451242,99.83747509699067,99.98805399593836,"Punt by Bobby, K. of 35 yards. Touchback.",Touchback
155550,10,2570,3,3:54,BAL,21,7,PHI,BAL,4.0,1.0,31.0,322.0315743556132,99.83223235818392,99.98805399593836,"Punt by Meoff, B. of 31 yards. Touchback.",Touchback
120202,8,1915,4,3:55,BAL,21,31,PHI,PHI,4.0,3.0,37.0,321.8951425049678,99.82698961937716,99.98805399593836,"Punt by Turkleton, T. of 37 yards. Touchback.",Touchback
167567,11,2699,4,13:38,BAL,24,20,YKW,BAL,4.0,8.0,30.0,309.7634410941115,99.82174688057042,99.98805399593836,"Punt by Forfeit, N. of 30 yards. Touchback.",Touchback
