,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,recTeam,down,distance,dist2goal,surrenderIndex,percentiles,play
65997,6,1592,5,12:29,YKW,27,27,NO ,YKW,4.0,2.0,32.0,930.9912084692833,100.0,"Punt by Lombardi, J. of 32 yards. Touchback."
118007,11,2698,4,4:24,YKW,21,17,PHI,YKW,4.0,1.0,35.0,739.1149078659555,100.0,"Punt by (R) Fulture, K. of 35 yards. Touchback."
2730,1,18,4,2:03,BAL,20,23,COL,COL,4.0,3.0,35.0,730.9853784766264,100.0,"Punt by Harris, S. of 35 yards. Touchback."
38635,3,314,4,3:16,PHI,14,17,YKW,YKW,4.0,5.0,33.0,708.052378634991,100.0,"Punt by Harris, S. of 33 yards. Touchback."
83129,9,2334,4,6:44,YKW,13,21,OCO,OCO,4.0,2.0,33.0,685.117125917111,100.0,"Punt by Forfeit, N. of 33 yards. Touchback."
193532,17,4208,4,13:29,BAL,17,21,COL,COL,4.0,1.0,31.0,654.0499671826253,99.99601799864612,"Punt by Brand, F. of 31 yards. Touchback."
28936,3,269,4,11:04,LV ,10,3,YKW,LV ,4.0,2.0,31.0,653.9042886615887,99.99601799864612,"Punt by Booter, A. of 31 yards. Touchback."
193168,17,4206,4,5:21,OCO,7,30,SJS,SJS,4.0,5.0,31.0,631.712606292803,99.99601799864612,"Punt by Dasistwirklichseinnachname, A. of 31 yards. Touchback."
126858,12,2799,4,6:14,YKW,23,28,OCO,OCO,4.0,2.0,34.0,598.4282136790852,99.99601799864612,"Punt by PuntMachine6, Z. of 34 yards. Touchback."
29794,3,273,4,5:09,BAL,14,27,SJS,SJS,4.0,5.0,32.0,536.2949541476224,99.99601799864612,"Punt by Turkleton, T. of 29 yards. No return."
35158,3,298,4,2:42,BAL,17,17,SJS,BAL,4.0,2.0,33.0,496.71292933074363,99.99601799864612,"Punt by Blewitt, I. of 33 yards. Touchback."
33189,3,289,4,9:01,PHI,10,6,BAL,PHI,4.0,5.0,32.0,496.46290665913506,99.99601799864612,"Punt by Turkleton, T. of 32 yards. Touchback."
19829,2,78,5,13:18,ARI,26,20,OCO,ARI,4.0,3.0,39.0,485.99789055034233,99.99601799864612,"Punt by Langdon, J. of 39 yards. Touchback."
14197,2,135,3,1:00,OCO,13,6,COL,OCO,4.0,1.0,32.0,439.9307737664499,99.99601799864612,"Punt by Kicksit, B. of 32 yards. Touchback."
53360,4,755,4,14:02,PHI,20,14,YKW,PHI,4.0,1.0,33.0,432.5588172179369,99.99601799864612,"Punt by Lombardi, J. of 33 yards. Touchback."
65958,6,1592,4,8:10,YKW,27,24,NO ,YKW,4.0,8.0,31.0,430.64429404901614,99.99601799864612,"Punt by Lombardi, J. of 31 yards. Touchback."
92733,10,2508,4,3:51,COL,41,31,NO ,COL,4.0,5.0,34.0,419.71952870540065,99.99601799864612,"Punt by PuntMachine8, Z. of 34 yards. Touchback."
197607,17,4292,4,11:00,NO ,24,10,AUS,NO ,4.0,3.0,32.0,411.2657111637158,99.99601799864612,"Punt by Crisco, A. of 32 yards. Touchback."
138902,12,2927,4,3:51,PHI,24,24,COL,PHI,4.0,1.0,35.0,388.62919324574136,99.99203599729223,"Punt by Leg, P. of 35 yards. Touchback."
137866,12,2922,4,6:15,AZ ,17,20,BAL,BAL,4.0,4.0,35.0,373.43296127492704,99.99203599729223,"Punt by Jackson, D. of 35 yards. Touchback."
3076,1,20,4,7:56,OCO,13,10,BAL,OCO,4.0,3.0,36.0,353.89573852030685,99.99203599729223,"Punt by Harris, S. of 36 yards. Touchback."
106202,10,2570,3,3:54,BAL,21,7,PHI,BAL,4.0,1.0,31.0,322.0315743556132,99.98805399593836,"Punt by Meoff, B. of 31 yards. Touchback."
118219,11,2699,4,13:38,BAL,24,20,YKW,BAL,4.0,8.0,30.0,309.7634410941115,99.98805399593836,"Punt by Forfeit, N. of 30 yards. Touchback."
178631,16,3876,4,10:01,PHI,14,17,OCO,OCO,4.0,9.0,32.0,300.93030047091213,99.98805399593836,"Punt by Frost, K. of 32 yards. Touchback."
60364,6,1567,2,9:54,NO ,3,14,BAL,BAL,4.0,1.0,30.0,298.3135822273102,99.98805399593836,"Punt by Lombardi, J. of 30 yards. Touchback."
54012,4,758,4,7:16,YKW,27,10,COL,YKW,4.0,1.0,37.0,294.52850806341115,99.98407199458448,"Punt by Kicksit, B. of 37 yards. Touchback."
88499,9,2359,3,2:37,NO ,20,7,COL,NO ,4.0,2.0,31.0,280.4490548601857,99.97610799187672,"Punt by McCormick, M. of 31 yards. Touchback."
1384,1,54,1,3:10,COL,3,0,YKW,COL,4.0,1.0,32.0,276.21627984010206,99.97610799187672,"Punt by Booter, A. of 32 yards. Touchback."
15010,2,113,3,3:44,PHI,13,24,SJS,SJS,4.0,1.0,32.0,271.1578847030553,99.97610799187672,"Punt by Harris, S. of 32 yards. Touchback."
144508,14,3205,4,8:10,YKW,0,31,OCO,OCO,4.0,7.0,32.0,269.15268378063513,99.97610799187672,"Punt by Forfeit, N. of 32 yards. Touchback."
37766,3,310,3,5:52,YKW,7,13,COL,COL,4.0,1.0,33.0,268.06020972358834,99.97610799187672,"Punt by Booter, A. of 33 yards. Touchback."
53655,4,757,1,1:56,ARI,0,3,LV ,LV ,4.0,2.0,31.0,265.167628646498,99.97610799187672,"Punt by Ronaldo, C. of 31 yards. Touchback."
218905,18,4572,1,5:15,YKW,3,0,PHI,YKW,4.0,2.0,31.0,265.167628646498,99.97610799187672,"Punt by Frost (R), B. of 31 yards. Touchback."
40666,3,324,1,7:47,COL,0,3,PHI,PHI,4.0,2.0,31.0,265.167628646498,99.97610799187672,"Punt by Kicksit, B. of 31 yards. Touchback."
30158,3,275,4,14:09,COL,16,13,LV ,COL,4.0,4.0,33.0,256.8929279191453,99.97610799187672,"Punt by Walsh, B. of 33 yards. Touchback."
89156,9,2362,3,5:55,YKW,17,23,OCO,OCO,4.0,3.0,32.0,256.7438331385864,99.97610799187672,"Punt by Forfeit, N. of 32 yards. Touchback."
130592,12,2888,4,12:16,OCO,17,9,BAL,OCO,4.0,4.0,34.0,253.72193312360054,99.97610799187672,"Punt by Turkleton, T. of 34 yards. Touchback."
27432,3,262,4,12:01,SJS,14,20,COL,COL,4.0,9.0,32.0,249.28144032326026,99.97610799187672,"Punt by Blewitt, I. of 32 yards. Touchback."
63134,6,1579,4,12:32,BAL,23,16,COL,BAL,4.0,6.0,34.0,247.56144092260573,99.97610799187672,"Punt by Leg, P. of 34 yards. Touchback."
45275,4,718,4,13:51,COL,15,13,PHI,COL,4.0,2.0,35.0,244.22803168086156,99.97610799187672,"Punt by Harris, S. of 35 yards. Touchback."
528,1,49,4,14:01,OCO,10,3,ARI,OCO,4.0,2.0,35.0,240.66290687818633,99.97610799187672,"Punt by Nugent, A. of 35 yards. Touchback."
89635,9,2364,4,13:07,COL,21,7,PHI,COL,4.0,2.0,34.0,234.72735128958914,99.97610799187672,"Punt by (R) Meoff, B. of 34 yards. Touchback."
161110,15,3360,4,5:01,PHI,16,16,SJS,PHI,4.0,2.0,36.0,232.75135167989373,99.97610799187672,"Punt by Donaldson, N. of 36 yards. Touchback."
186841,16,3915,3,3:53,OCO,17,6,COL,OCO,4.0,6.0,30.0,232.10126513605312,99.97610799187672,"Punt by Anderson, A. of 30 yards. Touchback."
196885,17,4289,3,12:06,COL,20,14,YKW,COL,4.0,1.0,33.0,231.3928281929087,99.97610799187672,"Punt by Bobby (R), K. of 33 yards. Touchback."
192514,17,4203,4,6:30,BAL,35,24,YKW,BAL,4.0,5.0,36.0,227.97559809673453,99.97610799187672,"Punt by Bobby (R), K. of 36 yards. Touchback."
18767,2,93,4,3:43,LV ,13,16,BAL,BAL,4.0,6.0,39.0,227.6477914899239,99.97610799187672,"Punt by Blewitt, I. of 39 yards. Touchback."
12115,2,125,3,10:14,LV ,7,5,PHI,LV ,4.0,2.0,32.0,226.14239077782494,99.97610799187672,"Punt by Legman1, Z. of 32 yards. Touchback."
108535,11,2655,3,12:10,OCO,10,3,BAL,OCO,4.0,2.0,32.0,222.0586643383652,99.97610799187672,"Punt by Turkleton, T. of 32 yards. Touchback."
51890,4,748,4,6:47,PHI,19,28,LV ,LV ,4.0,4.0,36.0,221.9707986569728,99.97610799187672,"Punt by Harris, S. of 36 yards. Touchback."
72412,6,1622,1,8:59,YKW,0,7,PHI,PHI,4.0,3.0,32.0,220.97302387208165,99.97610799187672,"Punt by Forfeit, N. of 32 yards. Touchback."
71608,6,1618,2,13:17,OCO,13,7,PHI,OCO,4.0,3.0,32.0,220.97302387208165,99.97610799187672,"Punt by Harris, S. of 32 yards. Touchback."
2851,1,19,3,7:04,ARI,17,6,OCO,ARI,4.0,3.0,31.0,220.32450304914406,99.97610799187672,"Punt by Walsh, B. of 31 yards. Touchback."
50459,4,742,3,10:01,LV ,3,38,OCO,OCO,4.0,1.0,32.0,212.69984198899766,99.97212599052284,"Punt by Gooney, W. of 32 yards. Touchback."
116359,11,2691,2,11:33,YKW,7,21,COL,COL,4.0,1.0,32.0,207.16220988007655,99.97212599052284,"Punt by Forfeit, N. of 32 yards. Touchback."
189244,16,3926,4,8:57,PHI,34,31,SJS,PHI,4.0,6.0,37.0,200.78819200185023,99.96814398916895,"Punt by Donaldson, N. of 37 yards. Touchback."
230135,18,4626,3,12:57,BAL,14,6,YKW,BAL,4.0,5.0,31.0,199.24580275208584,99.96814398916895,"Punt by Donaldson, N. of 31 yards. Touchback."
82005,9,2329,2,0:27,PHI,17,7,AZ ,PHI,4.0,3.0,31.0,198.87572148487348,99.96814398916895,"Punt by Jackson, D. of 31 yards. Touchback."
35730,3,301,2,8:15,SJS,10,7,OCO,SJS,4.0,6.0,31.0,198.87572148487345,99.96814398916895,"Punt by Sims, A. of 31 yards. Touchback."
52086,4,749,3,0:23,BAL,9,38,YKW,YKW,4.0,2.0,34.0,192.72140789678835,99.95619798510731,"Punt by Turkleton, T. of 34 yards. Touchback."
22834,2,88,2,6:54,OCO,14,9,LV ,OCO,4.0,1.0,34.0,191.81686100007087,99.95619798510731,"Punt by Blewitt, I. of 34 yards. Touchback."
110343,11,2663,4,11:29,PHI,20,27,BAL,BAL,4.0,13.0,30.0,188.64003604772213,99.95221598375343,"Punt by (R) Fulture, K. of 30 yards. Touchback."
195939,17,4220,1,7:33,OCO,7,0,AZ ,OCO,4.0,3.0,33.0,184.14418656006805,99.94823398239956,"Punt by Lawes, S. of 33 yards. Touchback."
103792,10,2559,2,1:17,OCO,6,9,PHI,PHI,4.0,2.0,33.0,184.14418656006805,99.94823398239956,"Punt by Madlad, B. of 33 yards. Touchback."
45474,4,719,3,2:12,ARI,19,10,LV ,ARI,4.0,6.0,32.0,180.60212923161106,99.94823398239956,"Punt by Bullard, T. of 32 yards. Touchback."
117371,11,2695,5,7:41,NO ,33,30,BAL,NO ,4.0,3.0,47.0,175.32640819898745,99.94425198104567,"Punt by Turkleton, T. of 47 yards. Touchback."
219886,18,4576,4,10:35,COL,27,20,NO ,COL,4.0,5.0,37.0,171.91367209516585,99.94425198104567,"Punt by Frost, A. of 37 yards. Touchback."
208057,17,4342,4,4:10,NO ,23,20,OCO,NO ,4.0,2.0,42.0,168.58743201137756,99.94026997969179,"Punt by Dasistwirklichseinnachname, A. of 42 yards. Touchback."
148073,14,3222,4,5:02,OCO,17,10,AZ ,OCO,4.0,11.0,34.0,167.32253808415444,99.94026997969179,"Punt by Jackson, D. of 34 yards. Touchback."
138895,12,2927,4,6:37,PHI,24,24,COL,COL,4.0,2.0,37.0,167.02621131220087,99.94026997969179,"Punt by Fulture, K. of 37 yards. Touchback."
195127,17,4216,2,13:00,NO ,21,7,AZ ,NO ,4.0,2.0,32.0,165.72976790406125,99.93230597698403,"Punt by Lawes, S. of 32 yards. Touchback."
21350,2,79,1,7:18,SJS,0,7,OCO,OCO,4.0,5.0,32.0,165.72976790406122,99.93230597698403,"Punt by Nugent, A. of 32 yards. Touchback."
203691,17,4322,1,9:10,AUS,0,0,SJS,AUS,4.0,1.0,31.0,165.72976790406122,99.93230597698403,"Punt by Donaldson, N. of 31 yards. Touchback."
76665,9,2305,1,2:17,NO ,3,0,AZ ,NO ,4.0,6.0,32.0,165.72976790406122,99.93230597698403,"Punt by Jackson, D. of 32 yards. Touchback."
7301,1,29,3,0:00,YKW,9,17,BAL,BAL,4.0,1.0,38.0,159.9398884399704,99.92832397563015,"Punt by Booter, A. of 38 yards. Touchback."
49544,4,738,2,10:33,BAL,0,7,SJS,SJS,4.0,9.0,30.0,159.10057718789878,99.92434197427627,"Punt by Turkleton, T. is BLOCKED BY Sharpei, V.. No return."
142587,14,3196,4,10:28,SJS,13,34,NO ,NO ,4.0,10.0,30.0,155.7101706169216,99.92035997292238,"Punt by Legman3, Z. of 30 yards. Touchback."
65378,6,1590,1,2:47,AZ ,0,7,BAL,BAL,4.0,3.0,34.0,153.4534888000567,99.92035997292238,"Punt by Jackson, D. of 34 yards. Touchback."
152205,14,3242,2,9:08,AZ ,7,14,COL,COL,4.0,3.0,34.0,153.4534888000567,99.92035997292238,"Punt by Jackson, D. of 34 yards. Touchback."
122370,11,2719,2,10:03,PHI,3,10,BAL,BAL,4.0,2.0,34.0,153.4534888000567,99.92035997292238,"Punt by (R) Fulture, K. of 34 yards. Touchback."
211256,17,4357,4,2:01,BAL,27,24,YKW,BAL,4.0,15.0,36.0,152.73870029128636,99.92035997292238,"Punt by Bobby (R), K. of 36 yards. Touchback."
17524,2,98,4,5:41,ARI,12,10,COL,ARI,4.0,1.0,43.0,152.6327043598733,99.92035997292238,"Punt by Kicksit, B. of 43 yards. Touchback."
194782,17,4214,3,8:48,COL,10,20,CHI,CHI,4.0,1.0,34.0,151.268529023498,99.92035997292238,"Punt by Jones II (R), J. of 34 yards. Touchback."
23102,2,102,3,3:45,BAL,9,14,ARI,ARI,4.0,5.0,34.0,150.48572230377124,99.91637797156851,"Punt by Turkleton, T. of 34 yards. Touchback."
66021,6,1592,5,3:14,YKW,27,27,NO ,YKW,4.0,9.0,42.0,149.33596349987883,99.91637797156851,"Punt by Lombardi, J. of 42 yards. Touchback."
4074,1,37,4,11:17,SJS,10,20,OCO,OCO,4.0,4.0,36.0,144.83658788939272,99.91637797156851,"Punt by Laces, K. of 36 yards. Touchback."
44595,4,715,3,4:36,COL,20,16,LV ,COL,4.0,5.0,34.0,143.0536340465876,99.91637797156851,"Punt by Bullard, T. of 34 yards. Touchback."
212862,18,4542,4,5:41,PHI,23,36,YKW,YKW,4.0,11.0,33.0,141.75922122516576,99.91637797156851,"Punt by PuntMachine4, Z. of 33 yards. Touchback."
116669,11,2692,3,10:55,AZ ,10,20,OCO,OCO,4.0,2.0,33.0,140.1391754892328,99.91637797156851,"Punt by Jackson, D. of 33 yards. Touchback."
34997,3,298,1,4:37,BAL,0,0,SJS,BAL,4.0,1.0,32.0,138.10813992005103,99.90841396886076,"Punt by Blewitt, I. of 32 yards. Touchback."
208929,17,4347,2,7:06,AUS,10,14,PHI,PHI,4.0,6.0,33.0,138.10813992005103,99.90841396886076,"Punt by Crisco, A. of 33 yards. Touchback."
198434,17,4296,4,5:38,AZ ,17,30,AUS,AUS,4.0,7.0,37.0,137.36695184318987,99.90841396886076,"Punt by Lawes, S. of 37 yards. Touchback."
7504,1,30,3,0:31,COL,17,17,SJS,SJS,4.0,5.0,32.0,137.243713531587,99.90841396886076,"Punt by Darkapple, J. of 32 yards. Touchback."
211822,18,4537,4,4:27,YKW,14,17,SJS,SJS,4.0,2.0,43.0,136.8853407367587,99.90841396886076,"Punt by Legman1, Z. of 43 yards. Touchback."
141925,14,3193,4,5:18,YKW,12,17,BAL,BAL,4.0,11.0,35.0,136.0285947618677,99.90841396886076,"Punt by PuntMachine6, Z. of 35 yards. Touchback."
6508,1,10,4,9:16,YKW,0,17,OCO,OCO,4.0,2.0,39.0,135.29373366825823,99.90841396886076,"Punt by Booter, A. of 39 yards. Touchback."
11414,2,122,1,3:58,OCO,7,0,BAL,OCO,4.0,1.0,36.0,133.20615347227144,99.90841396886076,"Punt by Turkleton, T. of 36 yards. Touchback."
91895,9,2375,1,5:28,BAL,7,2,NO ,BAL,4.0,1.0,36.0,133.20615347227144,99.90841396886076,"Punt by Blewitt, I. of 36 yards. Touchback."
118437,11,2700,4,12:55,COL,27,24,AZ ,COL,4.0,9.0,35.0,132.79421344265845,99.90841396886076,"Punt by Jackson, D. of 35 yards. Touchback."
