,S,W,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,teamPoss,recTeam,down,distance,side,dist2goal,puntDist,puntEndLoc,surrenderIndex,surrenderRank,percentiles,NFLpercentiles,play,result
223062,24,8,6138,4,2:52,PHI,12,13,AZ,PHI,AZ,4.0,2.0,AZ,32.0,12.0,20.0,1174.4329851888363,1.0,100.0,100.0,"Punt by Hunt (R), K. of 32 yards. Touchback.",Touchback
329847,6,4,1592,5,12:29,YKW,27,27,NO,NO,YKW,4.0,2.0,YKW,32.0,12.0,20.0,930.9912084692833,2.0,99.99556403318103,100.0,"Punt by Lombardi, J. of 32 yards. Touchback.",Touchback
18823,11,7,2698,4,4:24,YKW,21,17,PHI,PHI,YKW,4.0,1.0,YKW,35.0,15.0,20.0,739.1149078659555,3.0,99.99112806636207,100.0,"Punt by (R) Fulture, K. of 35 yards. Touchback.",Touchback
136423,1,1,18,4,2:03,BAL,20,23,COL,BAL,COL,4.0,3.0,COL,35.0,15.0,20.0,730.9853784766264,4.0,99.98669209954309,100.0,"Punt by Harris, S. of 35 yards. Touchback.",Touchback
296767,3,10,314,4,3:16,PHI,14,17,YKW,PHI,YKW,4.0,5.0,YKW,33.0,13.0,20.0,708.052378634991,5.0,99.98225613272413,100.0,"Punt by Harris, S. of 33 yards. Touchback.",Touchback
345822,7,7,1754,4,8:30,YKW,23,20,SJS,SJS,YKW,4.0,3.0,YKW,32.0,12.0,20.0,695.3333835150169,6.0,99.97782016590516,100.0,"Punt by Blewitt, I. of 32 yards. Touchback.",Touchback
346260,7,8,1756,4,4:04,COL,3,38,NO,COL,NO,4.0,1.0,NO,34.0,14.0,20.0,685.8346094892236,7.0,99.9733841990862,100.0,"Punt by McCormick, M. of 34 yards. Touchback.",Touchback
117026,18,11,4609,4,3:54,BAL,23,27,AZ,BAL,AZ,4.0,1.0,AZ,36.0,16.0,20.0,644.7696660697467,8.0,99.96894823226722,99.99634396022229,"Punt by Brand, F. of 36 yards. Touchback.",Touchback
342625,7,4,1740,4,4:42,SJS,33,9,COL,COL,SJS,4.0,2.0,SJS,33.0,13.0,20.0,621.2054182651849,9.0,99.96451226544825,99.99634396022229,"Punt by McCormick, M. of 33 yards. Touchback.",Touchback
272746,26,8,6718,5,13:10,NO,31,31,COL,COL,NO,4.0,3.0,NO,34.0,14.0,20.0,611.3488016293984,10.0,99.96007629862929,99.99634396022229,"Punt by Banana, S. of 34 yards. Touchback.",Touchback
177901,22,2,5370,4,6:04,AUS,14,20,HON,AUS,HON,4.0,1.0,HON,36.0,16.0,20.0,527.6521997680713,11.0,99.95564033181032,99.99634396022229,"Punt by Crisco, A. of 36 yards. Touchback.",Touchback
227766,24,11,6125,4,6:05,SAR,20,27,HON,SAR,HON,4.0,1.0,HON,36.0,16.0,20.0,526.8287218582227,12.0,99.95120436499136,99.99634396022229,"Punt by Small, J. of 36 yards. Touchback.",Touchback
293290,3,6,298,4,2:42,BAL,17,17,SJS,SJS,BAL,4.0,2.0,BAL,33.0,13.0,20.0,496.71292933074363,13.0,99.94676839817238,99.99634396022229,"Punt by Blewitt, I. of 33 yards. Touchback.",Touchback
