,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,teamPoss,recTeam,down,distance,side,dist2goal,puntDist,puntEndLoc,surrenderIndex,surrenderRank,percentiles,DDSPF16percentiles,NFLpercentiles,play,result
11735,1,71,1,9:32,SAR,3,0,AUS,AUS,SAR,4,8,AUS,72,49,23,1.6,4252.0,64.41965448389617,62.533824246994634,58.04877157063469,"Punt by QB (R), P. of 49 yards. Returned by Chan, R. for 11 yards. First Down!",Returned
11740,1,71,1,7:54,SAR,3,0,AUS,SAR,AUS,4,8,AUS,46,37,9,2.1513537461053462,3389.0,70.69190033857106,68.54012331987757,66.57831237203861,"Punt by PhastBawls, D. of 37 yards.  No return. First Down!",No return
11680,1,53,3,4:02,COL,23,17,PHI,PHI,COL,4,1,PHI,68,41,27,5.139561248,1591.0,86.19671846514454,82.19846515548063,85.77069318514185,"Punt by PuntBot, Z. of 41 yards. Returned by Purchase, L. for 19 yards. First Down!",Returned
11807,1,71,3,9:25,SAR,13,13,AUS,SAR,AUS,4,20,SAR,93,29,64,0.41503815,8051.0,30.115461411580867,29.259637137914208,18.733547821000293,"Punt by PhastBawls, D. of 29 yards. Returned by Jeeta, E. for 17 yards. First Down!",Returned
11748,1,71,1,4:04,SAR,3,0,AUS,AUS,SAR,4,9,AUS,64,41,23,1.6,4252.0,64.41965448389617,62.533824246994634,58.04877157063469,"Punt by QB (R), P. of 41 yards.  No return. First Down!",No return
11596,1,53,1,7:58,COL,0,7,PHI,PHI,COL,4,5,PHI,70,41,29,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by PuntBot, Z. of 41 yards. Returned by Purchase, L. for 18 yards. First Down!",Returned
11604,1,53,1,4:23,COL,0,7,PHI,PHI,COL,4,1,COL,42,22,20,11.152617819810109,838.0,92.77281013976908,89.53333629064454,93.90720971044165,"Punt by PuntBot, Z. of 42 yards.  Touchback.",Touchback
11546,1,42,4,10:50,ARI,20,21,OCO,OCO,ARI,4,7,ARI,35,33,2,15.984738416672574,618.0,94.66967618716903,91.86665483742182,96.10266159695817,"Punt by Dasistwirklichseinnachname, A. of 33 yards.  No return. First Down!",No return
11550,1,42,4,9:33,ARI,20,21,OCO,ARI,OCO,4,10,ARI,98,39,59,2.2778272664000005,3298.0,71.37772376074312,69.20995430954177,67.41737350102369,"Punt by Jay-Jaymison, J. of 39 yards.  No return. First Down!",No return
11558,1,42,4,6:10,ARI,20,21,OCO,ARI,OCO,4,8,ARI,59,38,21,1.0266227234520222,5037.0,56.2809271638163,54.54021203921395,46.04416496051477,"Punt by Jay-Jaymison, J. of 38 yards. Returned by Beerus, L. for 13 yards. First Down!",Returned
11652,1,53,2,0:04,COL,23,14,PHI,COL,PHI,4,22,COL,70,63,7,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by Banana, S. of 63 yards. Returned by Torenson, S. for 16 yards. First Down!",Returned
11676,1,53,3,5:53,COL,23,17,PHI,COL,PHI,4,2,COL,55,38,17,0.1915136394953307,10697.0,7.318343606215818,7.723018231823626,0.0,"Punt by Banana, S. of 38 yards. Returned by Torenson, S. for 6 yards. First Down!",Returned
12015,1,91,4,9:12,HON,16,26,BER,BER,HON,4,4,BER,63,36,27,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by Hunt, K. of 36 yards. Returned by Waters, J. for 5 yards. First Down!",Returned
11954,1,91,2,0:28,HON,3,16,BER,BER,HON,4,22,BER,93,43,50,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by Hunt, K. of 43 yards.  No return. First Down!",No return
